User,Comment,VideoID,Likes,Replies
@MrGreen-fi5sg,The look on his face! Its so priceless. 🤣,Ssqy6u1vREw,0.0,0.0
@jasoncentrella1951,ABC tried to rig the fucking debate as well!!!!  TOO FUCKING BAD!!!   CRY CRY CRY CRY!!!   LOL,Ssqy6u1vREw,1.0,0.0
@benjamindouglas862,"David, your tears taste so delicious",Ssqy6u1vREw,0.0,0.0
@centristmiguel8581,Preserves the Republic. For Now.,Ssqy6u1vREw,0.0,0.0
@InglesDinamico100,"It so astouding the media be fed up, it seems trump broke down all remarks he was a weak guy",Ssqy6u1vREw,0.0,0.0
@davidw4781,"So, Trump got hired, got fired, and now rehired.",Ssqy6u1vREw,0.0,0.0
@tmcge3325,"Remember, American People said <b>We want Trump</b>",Ssqy6u1vREw,0.0,0.0
@Joshua-Samarita,It’s sad that the people who were part of the election before are no longer part on this year’s election. For this network: George Stephanopoulos<br>CNN: Wolf Blitzer,Ssqy6u1vREw,0.0,0.0
@unclesmack10,Lolk at his face,Ssqy6u1vREw,0.0,0.0
@jamaineberry20,So bias talling about half people of the country think he a threat what about people who voted for the winner this why people dont like yall,Ssqy6u1vREw,0.0,0.0
@mhewlett4547,Kamala with all those phoney celebrity endorsements. That BS no longer moves the needle and those hollywood elites are forever irrelevant.,Ssqy6u1vREw,0.0,0.0
@Only_In_America_SY,He! He! He!!😂😂😂😂😂 love those constipated faces!!! I have some metamussil!!! I’ll mail it to you “activists” posing as fake journalists!!! 😂😂😂 he he he!!!,Ssqy6u1vREw,1.0,0.0
@camselle,"advice for Democrats.. if u wanna win elections, don&#39;t nominate empty headed woke imbec!les.. (Here Endeth The Lesson)<a href=""UCkszU2WH9gy1mb0dV-11UJg/hcIfY57lBJXp6AKBx4CoCA""></a>",Ssqy6u1vREw,0.0,0.0
@tommoore8726,Where&#39;s Georgie? Home hiding under the covers?,Ssqy6u1vREw,0.0,0.0
@PeterDurkin-z1x,Im getting  my popcorn goodbye nancy pelosi,Ssqy6u1vREw,0.0,0.0
@stevejenks7711,The only reason America is divided is because of Dem identity politics + news media lies!,Ssqy6u1vREw,1.0,0.0
@Jemia5891,She was a horrible candidate. I don’t care how long she would’ve had. She’s done nothing since she’s been in office.,Ssqy6u1vREw,1.0,0.0
@TheMan-je5xq,Boy did ABC back the wrong horse lol,Ssqy6u1vREw,0.0,0.0
@onetwo19,Still laughing over David arguing with Trump during the debate.  Next time try being a moderator.,Ssqy6u1vREw,0.0,0.0
@tommycscat,Lol,Ssqy6u1vREw,0.0,0.0
@ryan_lu-y8w,&quot;How does he convince the people who see him as a threat.....due to our insidious lying...&quot;,Ssqy6u1vREw,0.0,0.0
@BillWill586,"It wasn’t breaking news ABC when you called the race at almost 6 am when you had Fox News news, news nation, and Newsmax called the president’s race  at around 1:50 am when",Ssqy6u1vREw,0.0,0.0
@joshuajoestar407,"That must have hurt, right you election interfering communists?",Ssqy6u1vREw,0.0,0.0
@raykoonce5474,Where&#39;s the other apx 18 million that voted in 2020? Hmmmm...lol,Ssqy6u1vREw,0.0,0.0
@maibalzich7602,Dam trump gapped her in the polls 😂 honestly it was expected she would&#39;ve been a terrible president.,Ssqy6u1vREw,0.0,0.0
@jackienikora259,ABC tried to cheat on the Polls and lost😂😂😂😂Karma baby Karma…Now kiss the feet of all the Americans you shat on🫵🏽🖕🏽,Ssqy6u1vREw,0.0,0.0
@silencehypocrites,Yesterday was garbage day. So we took out the trash!! MAGA!!,Ssqy6u1vREw,0.0,0.0
@sandywilson7589,NEWS SHOULD BE HONEST REPORTING NOT LIES,Ssqy6u1vREw,0.0,0.0
@AmazingJohnny,A felon wins the Presidential election. This is possible only in America 😒.,Ssqy6u1vREw,0.0,0.0
@BeatriceLutchmiah,You lied a lot. Imagine if you news and I use the term lightly and Lying Democrats party leaders would have told the TRUTH! Everyone even dem supporters would have voted Trump. YOU LIE,Ssqy6u1vREw,0.0,0.0
@aswini4222,Despite the negative press covfefe….Trump won! 😂😂,Ssqy6u1vREw,0.0,0.0
@lottorabbit,🎉🎉TRUMP VICTORIOUS🎉🎉 even with all of these fake news conglomerates bashing him!😂😂 this proves that cheaters and liars don’t always win! ❤CONGRATS TRUMP VANCE❤,Ssqy6u1vREw,1.0,0.0
